URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://fhir.health.gov.lk/ips/CodeSystem/cs-cvd-risk-category,0.1.0,active,,CSCVDRiskCategory,Cardiovascular Risk Categories,"Cardiovascular risk is expressed as a percentage","ValueSet/vs-cvd-risk-category"
http://fhir.health.gov.lk/ips/CodeSystem/cs-follow-up-reasons,0.1.0,active,,CSFollowUpReasons,Follow up at HLC,"Follow up at Healthy Lifestyle Center","ValueSet/vs-follow-up-reasons"
http://fhir.health.gov.lk/ips/CodeSystem/cs-identifier-types,0.1.0,active,,CSIdentifierTypes,Patient Business Identifier Types,"Patient Business Identifier Types","ValueSet/vs-identifier-types"
http://fhir.health.gov.lk/ips/CodeSystem/cs-investigation,0.1.0,active,,CSInvestigations,Investigations,"Investigations","ValueSet/vs-investigation"
http://fhir.health.gov.lk/ips/CodeSystem/cs-medication-name,0.1.0,active,,CSMedicationNames,Medication Names,"Medication Names","ValueSet/vs-medication-name"
http://fhir.health.gov.lk/ips/CodeSystem/cs-procedure,0.1.0,active,,CSProcedures,Procedures,"Other Procedures","ValueSet/vs-procedure"
http://fhir.health.gov.lk/ips/CodeSystem/cs-procedure-imaging,0.1.0,active,,CSImagingProcedures,Procedures,"Imaging Procedures","ValueSet/vs-procedure,ValueSet/vs-procedure-imaging"
http://fhir.health.gov.lk/ips/CodeSystem/cs-reason-for-encounter,0.1.0,active,,CSReasonForEncounter,Reason For Encounter,"Encounter reasons.","ValueSet/vs-reason-for-encounter"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/vs-medical-conditions,ValueSet/encounter-reason,ValueSet/vs-follow-up-reasons,ValueSet/vs-follow-up-plan,ValueSet/vs-risk-behaviour-physical-activity,ValueSet/procedure-code"
